x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2751751,1182288,2023,1,1,0,1420,2751-1182
2790500,1151500,2023,1,1,0,1420,2790-1151
2614500,1211500,2021,1,1,0,1420,2614-1211
2605500,1203500,2023,1,2,0,1420,2605-1203
2752028,1190209,2023,1,1,0,1420,2752-1190
2596481,1241099,2023,1,1,0,1420,2596-1241
2568238.05313419,1117187.21443991,2022,1,1,0,1420,2568-1117
2584553.21416007,1117209.94172944,2025,1,1,0,1420,2584-1117
2713500,1114500,2023,1,1,0,1420,2713-1114
2577046,1112256,2025,7,1,0,1420,2577-1112
2570593,1110030,2025,7,1,0,1420,2570-1110
2628720,1116634,2023,7,1,2,1420,2628-1116
2584661,1117194,2025,1,1,0,1420,2584-1117
2584740,1117287,2024,1,1,0,1420,2584-1117
2656500,1272500,2021,12,2,4,1420,2656-1272
2647661,1133744,2021,1,1,0,1420,2647-1133
2689904.50449125,1283568.76549361,2022,7,2,0,1420,2689-1283
2614733,1212023,2025,12,1,2,1420,2614-1212
2513369,1167768,2024,12,1,2,1420,2513-1167
2531825,1194929,2022,12,1,2,1420,2531-1194
2570437.94562937,1110191.19864893,2025,7,1,0,1420,2570-1110
2605500,1203500,2023,1,2,0,1420,2605-1203
2581325.83855849,1224931.15528571,2025,12,1,3,1420,2581-1224
2496309.65959583,1117765.97804706,2025,12,1,1,1420,2496-1117
2497490.6579427,1117691.94348574,2023,12,2,7,1420,2497-1117
2497490.6579427,1117691.94348574,2023,12,2,7,1420,2497-1117
2576500,1214500,2025,7,1,3,1420,2576-1214
2608500,1125500,2021,12,1,3,1420,2608-1125
2552500,1187500,2021,12,2,4,1420,2552-1187
2681952,1249081,2021,7,1,0,1420,2681-1249
2633313,1188355,2021,12,1,2,1420,2633-1188
2530622,1190152,2024,12,1,3,1420,2530-1190
2627252,1246936,2021,12,2,4,1420,2627-1246
2765315,1205208,2025,7,1,0,1420,2765-1205
2765675,1205435,2025,12,2,6,1420,2765-1205
2762825,1198084,2021,12,1,2,1420,2762-1198
2563721,1232768,2021,12,1,2,1420,2563-1232
2633967,1247334,2021,12,1,2,1420,2633-1247
2584512,1117367,2024,7,1,0,1420,2584-1117
2583693,1250516,2023,19,1,18,1420,2583-1250
2579222,1183373,2022,7,1,0,1420,2579-1183
2547750,1215874,2023,19,2,14,1420,2547-1215
2735738,1133215,2023,12,2,4,1420,2735-1133
2586500,1203500,2022,7,1,0,1420,2586-1203
2563500,1232500,2022,12,2,4,1420,2563-1232
2598966,1255340,2023,19,2,4,1420,2598-1255
2790506,1151066,2023,12,1,2,1420,2790-1151
2689904.50449125,1283568.76549361,2022,12,1,2,1420,2689-1283
2584553.21416007,1117209.94172944,2021,12,2,2,1420,2584-1117
2551872,1186791,2022,12,1,3,1420,2551-1186
2581263,1224520,2021,12,1,2,1420,2581-1224
2531740,1168238,2021,12,2,18,1420,2531-1168
2584500,1117500,2022,12,1,2,1420,2584-1117
2603399,1187886,2021,12,2,4,1420,2603-1187
2760363,1197808,2022,19,1,2,1420,2760-1197
2750315,1256704,2023,19,1,2,1420,2750-1256
2497528,1117694,2023,19,1,2,1420,2497-1117
2530399,1183028,2023,12,2,6,1420,2530-1183
2530402,1183247,2024,12,1,2,1420,2530-1183
2530406,1183021,2023,12,1,2,1420,2530-1183
2497490.6579427,1117691.94348574,2023,19,2,6,1420,2497-1117
2615500,1129500,2024,19,1,2,1420,2615-1129
2606500,1237500,2022,12,2,2,1420,2606-1237
2584650,1117326,2021,12,1,2,1420,2584-1117
2584598,1117258,2021,12,1,2,1420,2584-1117
2584700,1117279,2021,12,2,4,1420,2584-1117
2579126,1183317,2025,12,1,1,1420,2579-1183
2579265,1183572,2025,12,1,1,1420,2579-1183
2579475,1183529,2024,12,1,7,1420,2579-1183
2578511,1183331,2025,19,1,1,1420,2578-1183
2584553.21416007,1117209.94172944,2021,12,2,1,1420,2584-1117
2584553.21416007,1117209.94172944,2021,12,1,2,1420,2584-1117
2647654,1133757,2021,12,2,6,1420,2647-1133
2529600,1182787,2025,12,1,2,1420,2529-1182
2572362,1123477,2025,12,1,3,1420,2572-1123
2614763,1212267,2025,25,1,2,1420,2614-1212
2776997,1164800,2025,25,1,2,1420,2776-1164
2575330,1178990,2024,19,1,1,1420,2575-1178
2750220,1256750,2023,19,1,2,1420,2750-1256
2750198,1256728,2024,19,2,19,1420,2750-1256
2585296,1233015,2021,19,1,2,1420,2585-1233
2621333,1205215,2024,19,2,4,1420,2621-1205
2603549,1187866,2021,19,1,7,1420,2603-1187
2613969,1126685,2023,19,1,18,1420,2613-1126
2643673,1214103,2022,25,1,8,1420,2643-1214
2513922,1168169,2024,25,3,19,1420,2513-1168
2578069,1186949,2025,25,2,19,1420,2578-1186
2567948,1210818,2023,25,2,14,1420,2567-1210
2666500,1203500,2021,19,2,14,1420,2666-1203
2689895,1283551,2022,25,5,19,1420,2689-1283
2581325.83855849,1224931.15528572,2022,25,1,2,1420,2581-1224
2496309.65959583,1117765.97804706,2025,25,1,1,1420,2496-1117
2605387,1203588,2024,19,1,2,1420,2605-1203
2566500,1246500,2024,25,1,7,1420,2566-1246
2666500,1203500,2025,19,1,2,1420,2666-1203
2586500,1203500,2022,25,2,7,1420,2586-1203
2608176,1131716,2021,31,3,19,1420,2608-1131
2549924,1200090,2023,31,3,13,1420,2549-1200
2714749,1243307,2024,31,4,13,1420,2714-1243
2574227,1173447,2025,25,2,19,1420,2574-1173
2580219,1217431,2023,31,3,13,1420,2580-1217
2547763,1215883,2023,31,2,4,1420,2547-1215
2682211,1249329,2023,31,1,2,1420,2682-1249
2750260,1256773,2022,25,1,3,1420,2750-1256
2576083,1214678,2025,31,5,13,1420,2576-1214
2576094,1214685,2023,31,5,13,1420,2576-1214
2594199,1240684,2022,25,1,8,1420,2594-1240
2544354,1214729,2024,25,1,4,1420,2544-1214
2755838,1212654,2022,25,2,14,1420,2755-1212
2647577,1133674,2022,25,3,12,1420,2647-1133
2618724,1269101,2025,31,3,8,1420,2618-1269
2611444,1168926,2022,25,1,7,1420,2611-1168
2791185,1160050,2025,31,3,19,1420,2791-1160
2615500,1129500,2025,25,1,2,1420,2615-1129
2496309.65959583,1117765.97804706,2025,31,1,1,1420,2496-1117
2497490.6579427,1117691.94348574,2024,31,1,2,1420,2497-1117
2547750.91508765,1215900.75090425,2022,25,1,8,1420,2547-1215
2544350.90861997,1214750.82069306,2021,25,2,4,1420,2544-1214
2584500,1117500,2022,25,1,2,1420,2584-1117
2548599.24249861,1182730.45397741,2024,31,2,13,1420,2548-1182
2513881,1168150,2021,31,1,13,1420,2513-1168
2545500,1179500,2025,31,6,13,1420,2545-1179
2516801.80252748,1162731.32638954,2021,31,1,13,1420,2516-1162
2529580,1182786,2024,25,1,5,1420,2529-1182
2579270,1183335,2025,25,3,19,1420,2579-1183
2579290,1183360,2023,25,1,2,1420,2579-1183
2584921,1117217,2021,31,1,2,1420,2584-1117
2584538,1117269,2024,31,1,2,1420,2584-1117
2607112,1123345,2024,31,4,19,1420,2607-1123
2682212,1249330,2023,31,1,2,1420,2682-1249
2580216,1217415,2025,31,3,13,1420,2580-1217
