DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY133,16660,Loxia curvirostra,0,0
2020-03-15,2020,BY337,16660,Loxia curvirostra,0,0
2020-03-15,2020,BY57,16660,Loxia curvirostra,0,0
2020-03-18,2020,BY231,16660,Loxia curvirostra,0,0
2020-03-19,2020,BY114,16660,Loxia curvirostra,0,0
2020-03-19,2020,BY124,16660,Loxia curvirostra,0,0
2020-03-19,2020,BY236,16660,Loxia curvirostra,0,0
2020-03-20,2020,BY158,16660,Loxia curvirostra,0,0
2020-03-20,2020,BY286,16660,Loxia curvirostra,0,0
2020-03-20,2020,BY454,16660,Loxia curvirostra,0,0
2020-03-22,2020,BY137,16660,Loxia curvirostra,0,0
2020-03-25,2020,BY132,16660,Loxia curvirostra,2,3
2020-03-27,2020,BY139,16660,Loxia curvirostra,0,0
2020-03-27,2020,BY453,16660,Loxia curvirostra,0,0
2020-03-27,2020,BY460,16660,Loxia curvirostra,0,0
2020-03-28,2020,BY291,16660,Loxia curvirostra,0,0
2020-03-31,2020,BY16,16660,Loxia curvirostra,4,1
2020-04-05,2020,BY124,16660,Loxia curvirostra,9,2
2020-04-05,2020,BY286,16660,Loxia curvirostra,0,0
2020-04-07,2020,BY114,16660,Loxia curvirostra,0,0
2020-04-07,2020,BY388,16660,Loxia curvirostra,0,0
2020-04-10,2020,BY133,16660,Loxia curvirostra,0,0
2020-04-11,2020,BY137,16660,Loxia curvirostra,2,2
2020-04-11,2020,BY236,16660,Loxia curvirostra,0,0
2020-04-11,2020,BY337,16660,Loxia curvirostra,0,0
2020-04-11,2020,BY454,16660,Loxia curvirostra,0,0
2020-04-11,2020,BY57,16660,Loxia curvirostra,0,0
2020-04-15,2020,BY231,16660,Loxia curvirostra,0,0
2020-04-16,2020,BY383,16660,Loxia curvirostra,0,0
2020-04-16,2020,BY460,16660,Loxia curvirostra,0,0
2020-04-18,2020,BY132,16660,Loxia curvirostra,0,0
2020-04-18,2020,BY161,16660,Loxia curvirostra,0,0
2020-04-22,2020,BY453,16660,Loxia curvirostra,0,0
2020-04-24,2020,BY139,16660,Loxia curvirostra,0,0
2020-04-27,2020,BY16,16660,Loxia curvirostra,0,0
2020-04-28,2020,BY291,16660,Loxia curvirostra,0,0
2020-04-28,2020,BY415,16660,Loxia curvirostra,0,0
2020-04-30,2020,BY158,16660,Loxia curvirostra,2,1
2020-04-30,2020,BY424,16660,Loxia curvirostra,0,0
2020-05-01,2020,BY114,16660,Loxia curvirostra,0,0
2020-05-03,2020,BY286,16660,Loxia curvirostra,0,0
2020-05-07,2020,BY132,16660,Loxia curvirostra,2,3
2020-05-07,2020,BY57,16660,Loxia curvirostra,0,0
2020-05-08,2020,BY492,16660,Loxia curvirostra,0,0
2020-05-09,2020,BY124,16660,Loxia curvirostra,0,0
2020-05-09,2020,BY454,16660,Loxia curvirostra,0,0
2020-05-10,2020,BY133,16660,Loxia curvirostra,0,0
2020-05-10,2020,BY388,16660,Loxia curvirostra,0,0
2020-05-14,2020,BY231,16660,Loxia curvirostra,0,0
2020-05-15,2020,BY139,16660,Loxia curvirostra,0,0
2020-05-16,2020,BY137,16660,Loxia curvirostra,0,0
2020-05-16,2020,BY337,16660,Loxia curvirostra,0,0
2020-05-17,2020,BY460,16660,Loxia curvirostra,0,0
2020-05-18,2020,BY16,16660,Loxia curvirostra,0,0
2020-05-18,2020,BY236,16660,Loxia curvirostra,0,0
2020-05-18,2020,BY383,16660,Loxia curvirostra,0,0
2020-05-19,2020,BY291,16660,Loxia curvirostra,0,0
2020-05-20,2020,BY453,16660,Loxia curvirostra,0,0
2020-05-20,2020,BY492,16660,Loxia curvirostra,1,4
2020-05-21,2020,BY158,16660,Loxia curvirostra,0,0
2020-05-21,2020,BY435,16660,Loxia curvirostra,0,0
2020-05-21,2020,BY456,16660,Loxia curvirostra,0,0
2020-05-22,2020,BY388,16660,Loxia curvirostra,0,0
2020-05-24,2020,BY286,16660,Loxia curvirostra,0,0
2020-05-27,2020,BY383,16660,Loxia curvirostra,1,0
2020-05-27,2020,BY415,16660,Loxia curvirostra,0,0
2020-05-27,2020,BY424,16660,Loxia curvirostra,2,1
2020-05-30,2020,BY132,16660,Loxia curvirostra,1,3
2020-05-30,2020,BY456,16660,Loxia curvirostra,0,0
2020-05-31,2020,BY137,16660,Loxia curvirostra,1,2
2020-06-01,2020,BY124,16660,Loxia curvirostra,0,0
2020-06-01,2020,BY133,16660,Loxia curvirostra,0,0
2020-06-01,2020,BY337,16660,Loxia curvirostra,16,1
2020-06-01,2020,BY57,16660,Loxia curvirostra,0,0
2020-06-03,2020,BY456,16660,Loxia curvirostra,0,0
2020-06-12,2020,BY139,16660,Loxia curvirostra,0,0
2020-06-12,2020,BY16,16660,Loxia curvirostra,0,0
2020-06-12,2020,BY231,16660,Loxia curvirostra,1,1
2020-06-12,2020,BY388,16660,Loxia curvirostra,2,0
2020-06-13,2020,BY114,16660,Loxia curvirostra,0,0
2020-06-13,2020,BY158,16660,Loxia curvirostra,0,0
2020-06-13,2020,BY236,16660,Loxia curvirostra,0,0
2020-06-13,2020,BY454,16660,Loxia curvirostra,0,0
2020-06-17,2020,BY383,16660,Loxia curvirostra,10,0
2020-06-17,2020,BY453,16660,Loxia curvirostra,2,0
2020-06-17,2020,BY460,16660,Loxia curvirostra,0,0
2020-06-20,2020,BY291,16660,Loxia curvirostra,0,0
2020-06-24,2020,BY456,16660,Loxia curvirostra,3,2
2020-06-24,2020,BY492,16660,Loxia curvirostra,5,4
2020-06-25,2020,BY424,16660,Loxia curvirostra,2,1
2020-07-09,2020,BY415,16660,Loxia curvirostra,14,2
2020-07-09,2020,BY492,16660,Loxia curvirostra,8,4
2020-07-12,2020,BY435,16660,Loxia curvirostra,0,0
2020-07-23,2020,BY424,16660,Loxia curvirostra,1,1
2020-09-11,2020,BY435,16660,Loxia curvirostra,1,1
2021-03-13,2021,BY454,16660,Loxia curvirostra,0,0
2021-03-18,2021,BY182,16660,Loxia curvirostra,1,1
2021-03-20,2021,BY114,16660,Loxia curvirostra,0,0
2021-03-20,2021,BY116,16660,Loxia curvirostra,0,0
2021-03-20,2021,BY124,16660,Loxia curvirostra,2,2
2021-03-20,2021,BY337,16660,Loxia curvirostra,3,3
2021-03-21,2021,BY168,16660,Loxia curvirostra,1,3
2021-03-21,2021,BY180,16660,Loxia curvirostra,1,1
2021-03-24,2021,BY358,16660,Loxia curvirostra,0,0
2021-03-25,2021,BY231,16660,Loxia curvirostra,5,1
2021-03-25,2021,BY355,16660,Loxia curvirostra,7,6
2021-03-25,2021,BY453,16660,Loxia curvirostra,0,0
2021-03-26,2021,BY128,16660,Loxia curvirostra,0,0
2021-03-26,2021,BY132,16660,Loxia curvirostra,1,2
2021-03-26,2021,BY3,16660,Loxia curvirostra,0,0
2021-03-26,2021,BY57,16660,Loxia curvirostra,0,0
2021-03-27,2021,BY137,16660,Loxia curvirostra,0,0
2021-03-28,2021,BY133,16660,Loxia curvirostra,0,0
2021-03-28,2021,BY139,16660,Loxia curvirostra,1,1
2021-03-28,2021,BY158,16660,Loxia curvirostra,0,0
2021-03-28,2021,BY236,16660,Loxia curvirostra,0,0
2021-03-28,2021,BY291,16660,Loxia curvirostra,0,0
2021-03-29,2021,BY342,16660,Loxia curvirostra,0,0
2021-03-29,2021,BY901,16660,Loxia curvirostra,0,0
2021-03-31,2021,BY460,16660,Loxia curvirostra,0,0
2021-04-02,2021,BY124,16660,Loxia curvirostra,0,0
2021-04-02,2021,BY458,16660,Loxia curvirostra,1,2
2021-04-05,2021,BY114,16660,Loxia curvirostra,0,0
2021-04-10,2021,BY132,16660,Loxia curvirostra,1,2
2021-04-10,2021,BY168,16660,Loxia curvirostra,0,0
2021-04-10,2021,BY337,16660,Loxia curvirostra,1,3
2021-04-11,2021,BY133,16660,Loxia curvirostra,0,0
2021-04-11,2021,BY180,16660,Loxia curvirostra,0,0
2021-04-11,2021,BY358,16660,Loxia curvirostra,0,0
2021-04-14,2021,BY182,16660,Loxia curvirostra,0,0
2021-04-17,2021,BY286,16660,Loxia curvirostra,2,1
2021-04-20,2021,BY453,16660,Loxia curvirostra,0,0
2021-04-21,2021,BY128,16660,Loxia curvirostra,0,0
2021-04-21,2021,BY231,16660,Loxia curvirostra,1,1
2021-04-23,2021,BY355,16660,Loxia curvirostra,4,6
2021-04-24,2021,BY139,16660,Loxia curvirostra,0,0
2021-04-24,2021,BY3,16660,Loxia curvirostra,1,1
2021-04-24,2021,BY454,16660,Loxia curvirostra,0,0
2021-04-24,2021,BY458,16660,Loxia curvirostra,2,2
2021-04-24,2021,BY57,16660,Loxia curvirostra,0,0
2021-04-25,2021,BY116,16660,Loxia curvirostra,0,0
2021-04-25,2021,BY236,16660,Loxia curvirostra,0,0
2021-04-25,2021,BY291,16660,Loxia curvirostra,0,0
2021-04-25,2021,BY342,16660,Loxia curvirostra,0,0
2021-04-25,2021,BY388,16660,Loxia curvirostra,1,1
2021-04-25,2021,BY460,16660,Loxia curvirostra,0,0
2021-04-27,2021,BY158,16660,Loxia curvirostra,0,0
2021-04-27,2021,BY383,16660,Loxia curvirostra,1,2
2021-04-28,2021,BY137,16660,Loxia curvirostra,0,0
2021-04-28,2021,BY901,16660,Loxia curvirostra,0,0
2021-05-08,2021,BY168,16660,Loxia curvirostra,2,3
2021-05-09,2021,BY114,16660,Loxia curvirostra,0,0
2021-05-09,2021,BY133,16660,Loxia curvirostra,0,0
2021-05-09,2021,BY139,16660,Loxia curvirostra,0,0
2021-05-09,2021,BY180,16660,Loxia curvirostra,0,0
2021-05-09,2021,BY286,16660,Loxia curvirostra,0,0
2021-05-09,2021,BY358,16660,Loxia curvirostra,0,0
2021-05-09,2021,BY456,16660,Loxia curvirostra,6,3
2021-05-09,2021,BY57,16660,Loxia curvirostra,0,0
2021-05-10,2021,BY124,16660,Loxia curvirostra,0,0
2021-05-10,2021,BY128,16660,Loxia curvirostra,0,0
2021-05-10,2021,BY182,16660,Loxia curvirostra,0,0
2021-05-10,2021,BY231,16660,Loxia curvirostra,0,0
2021-05-10,2021,BY469,16660,Loxia curvirostra,6,8
2021-05-11,2021,BY342,16660,Loxia curvirostra,0,0
2021-05-11,2021,BY388,16660,Loxia curvirostra,0,0
2021-05-11,2021,BY415,16660,Loxia curvirostra,0,0
2021-05-14,2021,BY132,16660,Loxia curvirostra,0,0
2021-05-14,2021,BY236,16660,Loxia curvirostra,0,0
2021-05-14,2021,BY901,16660,Loxia curvirostra,0,0
2021-05-15,2021,BY116,16660,Loxia curvirostra,0,0
2021-05-15,2021,BY137,16660,Loxia curvirostra,0,0
2021-05-15,2021,BY3,16660,Loxia curvirostra,0,0
2021-05-15,2021,BY355,16660,Loxia curvirostra,2,6
2021-05-16,2021,BY291,16660,Loxia curvirostra,0,0
2021-05-16,2021,BY337,16660,Loxia curvirostra,1,3
2021-05-16,2021,BY383,16660,Loxia curvirostra,2,2
2021-05-16,2021,BY454,16660,Loxia curvirostra,0,0
2021-05-21,2021,BY158,16660,Loxia curvirostra,0,0
2021-05-21,2021,BY453,16660,Loxia curvirostra,1,0
2021-05-24,2021,BY124,16660,Loxia curvirostra,0,0
2021-05-24,2021,BY387,16660,Loxia curvirostra,1,1
2021-05-24,2021,BY57,16660,Loxia curvirostra,0,0
2021-05-26,2021,BY458,16660,Loxia curvirostra,1,2
2021-05-28,2021,BY460,16660,Loxia curvirostra,0,0
2021-05-29,2021,BY132,16660,Loxia curvirostra,0,0
2021-05-30,2021,BY137,16660,Loxia curvirostra,0,0
2021-05-30,2021,BY286,16660,Loxia curvirostra,0,0
2021-05-31,2021,BY231,16660,Loxia curvirostra,0,0
2021-06-01,2021,BY388,16660,Loxia curvirostra,0,0
2021-06-02,2021,BY415,16660,Loxia curvirostra,1,1
2021-06-03,2021,BY133,16660,Loxia curvirostra,0,0
2021-06-03,2021,BY180,16660,Loxia curvirostra,0,0
2021-06-03,2021,BY337,16660,Loxia curvirostra,1,3
2021-06-03,2021,BY456,16660,Loxia curvirostra,3,3
2021-06-05,2021,BY168,16660,Loxia curvirostra,0,0
2021-06-05,2021,BY182,16660,Loxia curvirostra,0,0
2021-06-05,2021,BY342,16660,Loxia curvirostra,0,0
2021-06-07,2021,BY139,16660,Loxia curvirostra,0,0
