x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2704500,1283500,2024,25,2,0,5160,2704-1283
2727500,1271500,2024,25,2,0,5160,2727-1271
2562500,1250500,2024,25,2,0,5160,2562-1250
2600500,1218500,2024,25,1,0,5160,2600-1218
2715325,1113421,2023,25,1,0,5160,2715-1113
2715325,1113421,2023,25,1,0,5160,2715-1113
2715325,1113421,2023,25,1,0,5160,2715-1113
2659954,1270100,2024,25,1,0,5160,2659-1270
2497070,1112356,2024,25,1,0,5160,2497-1112
2553586,1201730,2024,25,1,0,5160,2553-1201
2715325,1113421,2023,25,1,0,5160,2715-1113
2572755,1204473,2024,25,5,0,5160,2572-1204
2615554,1270695,2024,25,1,0,5160,2615-1270
2579899,1252321,2024,25,1,0,5160,2579-1252
2523362,1168675,2024,25,1,0,5160,2523-1168
2523315,1168636,2025,25,1,0,5160,2523-1168
2522313,1168597,2024,25,1,0,5160,2522-1168
2490367.49844419,1112175.19352428,2024,25,2,0,5160,2490-1112
2522112,1168692,2024,25,1,0,5160,2522-1168
2596485,1215418,2024,25,6,0,5160,2596-1215
2522331,1168615,2025,25,1,0,5160,2522-1168
2553600.58665393,1201350.5765657,2024,25,1,0,5160,2553-1201
2719283,1127827,2024,25,1,0,5160,2719-1127
2600523,1233690,2024,25,1,0,5160,2600-1233
2599834,1233453,2024,25,4,0,5160,2599-1233
2494251.51234863,1112688.07170113,2024,25,2,0,5160,2494-1112
2523261,1168373,2024,25,1,0,5160,2523-1168
2523486,1168755,2024,25,1,0,5160,2523-1168
2523328,1168816,2024,25,1,0,5160,2523-1168
2522184,1168497,2024,25,2,0,5160,2522-1168
2522154,1168070,2024,25,1,0,5160,2522-1168
2643644,1224579,2025,25,1,0,5160,2643-1224
2580315,1212367,2025,25,1,0,5160,2580-1212
2643600,1224578,2024,25,1,0,5160,2643-1224
2710469,1113261,2023,25,2,0,5160,2710-1113
2565364.65439927,1207676.37008755,2024,25,1,0,5160,2565-1207
2596500,1124500,2022,25,1,0,5160,2596-1124
2712500,1113500,2023,25,1,0,5160,2712-1113
2643500,1224500,2024,25,1,0,5160,2643-1224
2679578.93494353,1254052.6237002,2024,25,2,0,5160,2679-1254
2569500,1203500,2025,25,1,0,5160,2569-1203
2687544,1285451,2024,25,1,0,5160,2687-1285
2572617,1206715,2024,25,1,0,5160,2572-1206
2669964,1256272,2023,25,1,0,5160,2669-1256
2609770,1258213,2024,25,2,4,5160,2609-1258
2717991,1113686,2023,25,1,0,5160,2717-1113
2642385,1261855,2023,25,1,0,5160,2642-1261
2694493,1281302,2024,25,2,0,5160,2694-1281
2490861,1116071,2024,25,2,3,5160,2490-1116
2572142,1206454,2024,25,1,0,5160,2572-1206
2490672,1116083,2025,25,1,3,5160,2490-1116
2711196,1112258,2023,25,1,0,5160,2711-1112
2711246,1112108,2023,25,1,0,5160,2711-1112
2694446,1281312,2025,25,1,0,5160,2694-1281
2632581,1267141,2024,25,1,0,5160,2632-1267
2498901,1123470,2024,25,1,0,5160,2498-1123
2717633,1114202,2021,25,1,0,5160,2717-1114
2704271,1112333,2021,25,1,0,5160,2704-1112
2687960,1267834,2024,25,2,0,5160,2687-1267
2729004,1270661,2025,25,1,0,5160,2729-1270
2717874,1114165,2023,25,1,0,5160,2717-1114
2632553,1245426,2024,25,1,0,5160,2632-1245
2717754,1114074,2025,25,1,0,5160,2717-1114
2613710,1268719,2024,25,2,0,5160,2613-1268
2717874,1114165,2023,25,1,0,5160,2717-1114
2717723,1132526,2024,25,2,0,5160,2717-1132
2595707,1235752,2023,25,1,0,5160,2595-1235
2715500,1113500,2023,25,2,0,5160,2715-1113
2530499,1172796,2023,25,1,3,5160,2530-1172
2692611,1293475,2023,25,1,0,5160,2692-1293
2659500,1254500,2023,25,1,0,5160,2659-1254
2715500,1113500,2024,25,6,0,5160,2715-1113
2523956,1169181,2024,25,1,0,5160,2523-1169
2576337,1205341,2024,25,2,4,5160,2576-1205
2595759,1203158,2023,25,2,0,5160,2595-1203
2595765,1203161,2024,25,1,0,5160,2595-1203
2523886,1169224,2024,25,2,0,5160,2523-1169
2595847,1202892,2023,25,1,0,5160,2595-1202
2523959,1169940,2025,25,1,0,5160,2523-1169
2523954,1169885,2024,25,1,0,5160,2523-1169
2523978,1169846,2025,25,1,0,5160,2523-1169
2523983,1170101,2024,25,1,0,5160,2523-1170
2523705,1169189,2024,25,1,0,5160,2523-1169
2573690,1206283,2024,25,1,0,5160,2573-1206
2523874,1169287,2024,25,1,0,5160,2523-1169
2596215,1202148,2024,25,1,0,5160,2596-1202
2523912,1169194,2025,25,1,0,5160,2523-1169
2571922,1204443,2024,25,4,0,5160,2571-1204
2575453,1257605,2024,25,2,0,5160,2575-1257
2572306,1203819,2024,25,2,0,5160,2572-1203
2572689,1204408,2024,25,1,0,5160,2572-1204
2633103,1260488,2024,25,1,0,5160,2633-1260
2676872,1202323,2022,25,2,0,5160,2676-1202
2523930,1170069,2024,25,1,0,5160,2523-1170
2570053,1210764,2021,25,1,0,5160,2570-1210
2500193,1138344,2025,25,1,0,5160,2500-1138
2500834,1138783,2024,25,2,4,5160,2500-1138
2572522,1203550,2024,25,5,0,5160,2572-1203
2569155,1203359,2025,25,1,0,5160,2569-1203
2573216,1107937,2022,25,1,0,5160,2573-1107
2712876,1113866,2023,25,1,0,5160,2712-1113
2712100,1113983,2023,25,1,0,5160,2712-1113
2572627,1203375,2024,25,4,0,5160,2572-1203
2572295,1203850,2024,25,4,0,5160,2572-1203
2575523,1204029,2025,25,1,2,5160,2575-1204
2501893,1137696,2024,25,1,3,5160,2501-1137
2567178,1208676,2024,25,1,0,5160,2567-1208
2570786.54709269,1203140.25772041,2024,25,1,0,5160,2570-1203
2490481.51409212,1112705.18624407,2025,25,1,0,5160,2490-1112
2687513,1284381,2025,25,2,0,5160,2687-1284
2711240,1112132,2023,25,1,0,5160,2711-1112
2632726,1245628,2024,25,1,0,5160,2632-1245
2729488,1275468,2025,25,1,0,5160,2729-1275
2645900.31560506,1252799.62174242,2025,25,1,0,5160,2645-1252
2700500,1285500,2023,25,1,0,5160,2700-1285
2575383.48559548,1257918.33890068,2023,25,1,0,5160,2575-1257
2687500,1285500,2024,25,5,0,5160,2687-1285
2715050.09211915,1113017.61341303,2023,25,3,0,5160,2715-1113
2712500,1113500,2023,25,1,0,5160,2712-1113
2570171.55826185,1203620.27005927,2024,25,1,0,5160,2570-1203
2572709.56678575,1204833.23018058,2023,25,2,0,5160,2572-1204
2575313.48974961,1258076.3403946,2025,25,1,0,5160,2575-1258
2592000.68323234,1220699.98565308,2025,25,1,0,5160,2592-1220
2606000.94648616,1256199.90450939,2024,25,3,0,5160,2606-1256
2710447.09883396,1113357.57841614,2023,25,2,0,5160,2710-1113
2521796.52596828,1150530.19186093,2024,25,1,0,5160,2521-1150
2659500,1254500,2023,25,1,0,5160,2659-1254
2573500,1206500,2024,25,1,0,5160,2573-1206
2569500,1203500,2024,25,1,0,5160,2569-1203
2571875,1202700,2024,25,8,0,5160,2571-1202
2570500,1203500,2022,25,1,0,5160,2570-1203
2618747,1258403,2024,25,1,0,5160,2618-1258
2529620,1172950,2024,25,1,0,5160,2529-1172
2618625,1256369,2024,25,1,0,5160,2618-1256
2589474,1173563,2024,25,1,0,5160,2589-1173
2683041,1259830,2025,25,1,0,5160,2683-1259
2689125,1289881,2025,25,1,3,5160,2689-1289
2683023,1259823,2025,25,1,0,5160,2683-1259
2715500,1113500,2021,25,1,0,5160,2715-1113
2564500,1252500,2024,25,4,0,5160,2564-1252
2619222,1258352,2024,31,1,2,5160,2619-1258
2580535,1204727,2025,25,1,0,5160,2580-1204
2576116,1205236,2023,25,1,0,5160,2576-1205
2686893,1291226,2025,25,1,2,5160,2686-1291
2570549,1203290,2024,25,2,0,5160,2570-1203
2561500,1247500,2025,25,1,0,5160,2561-1247
2710500,1113500,2023,25,4,0,5160,2710-1113
2618962,1258396,2024,31,1,2,5160,2618-1258
2612781,1251015,2021,31,2,4,5160,2612-1251
2624073,1256887,2024,25,2,6,5160,2624-1256
2717962,1137800,2024,25,1,0,5160,2717-1137
2687300,1288987,2021,31,1,2,5160,2687-1288
2687292,1288985,2021,31,1,2,5160,2687-1288
2576455,1214709,2023,31,1,8,5160,2576-1214
2684118,1262613,2024,25,1,0,5160,2684-1262
2691524,1258283,2022,31,2,16,5160,2691-1258
2490247,1112119,2023,25,1,0,5160,2490-1112
2577444,1203638,2024,31,2,4,5160,2577-1203
2571825,1202604,2022,31,1,2,5160,2571-1202
2715222,1112858,2023,25,1,0,5160,2715-1112
2718317,1130595,2024,25,1,0,5160,2718-1130
2643576,1224594,2025,25,1,0,5160,2643-1224
2570568,1240417,2024,25,2,0,5160,2570-1240
2570781,1240430,2024,25,2,0,5160,2570-1240
2714761,1112997,2023,25,2,0,5160,2714-1112
2674056,1280575,2024,25,1,0,5160,2674-1280
2710751,1112817,2024,25,3,0,5160,2710-1112
2678834,1278631,2024,25,2,0,5160,2678-1278
