x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2678743.88625199,1261738.64812515,2025,19,1,0,4430,2678-1261
2569942,1203522,2024,19,3,0,4430,2569-1203
2569500,1203500,2022,19,1,0,4430,2569-1203
2644119,1224617,2023,19,1,0,4430,2644-1224
2570171.55826185,1203620.27005927,2024,19,3,0,4430,2570-1203
2570500,1203500,2021,19,1,0,4430,2570-1203
2570500,1203500,2024,19,2,0,4430,2570-1203
2678602,1261654,2025,19,1,0,4430,2678-1261
2540869.22048315,1181909.78682461,2021,19,1,3,4430,2540-1181
2570500,1203500,2021,19,1,0,4430,2570-1203
2569752,1203438,2024,19,1,0,4430,2569-1203
2569896,1203497,2021,19,1,0,4430,2569-1203
2569756,1203433,2023,19,1,0,4430,2569-1203
2569751,1203431,2021,19,1,0,4430,2569-1203
2569684,1203472,2023,19,1,0,4430,2569-1203
2569799,1203470,2024,19,2,0,4430,2569-1203
2660500,1270500,2024,25,5,3,4430,2660-1270
2601500,1226500,2024,25,1,3,4430,2601-1226
2717500,1230500,2021,25,1,1,4430,2717-1230
2569380,1203400,2021,19,2,0,4430,2569-1203
2660241,1269880,2025,25,1,3,4430,2660-1269
2660130,1270090,2021,25,1,1,4430,2660-1270
2660241,1269880,2025,25,1,3,4430,2660-1269
2569720,1203468,2024,19,1,0,4430,2569-1203
2643790,1224721,2023,25,1,2,4430,2643-1224
2670300,1242299,2024,25,1,2,4430,2670-1242
2643951,1224826,2024,25,1,2,4430,2643-1224
2670311,1242301,2022,25,1,3,4430,2670-1242
2678743.88625199,1261738.64812515,2023,25,2,3,4430,2678-1261
2569576,1203216,2021,19,1,0,4430,2569-1203
2569565,1203207,2024,19,1,0,4430,2569-1203
2569636,1203059,2021,19,1,0,4430,2569-1203
2660500,1270500,2022,25,5,3,4430,2660-1270
2558500,1193500,2021,19,1,0,4430,2558-1193
2643500,1224500,2024,25,1,3,4430,2643-1224
2569500,1203500,2025,25,3,3,4430,2569-1203
2569500,1203500,2021,19,1,0,4430,2569-1203
2595966,1223788,2022,25,1,1,4430,2595-1223
2569756,1203429,2024,25,2,3,4430,2569-1203
2570280,1203760,2025,25,1,3,4430,2570-1203
2596213,1223817,2021,25,1,3,4430,2596-1223
2595966,1223859,2021,25,1,3,4430,2595-1223
2717500,1230500,2024,25,1,1,4430,2717-1230
2692455,1247660,2024,25,1,5,4430,2692-1247
2569622,1203332,2022,25,1,2,4430,2569-1203
2569691,1203374,2024,25,1,3,4430,2569-1203
2570500,1203500,2023,25,4,1,4430,2570-1203
2678937,1262396,2025,25,1,3,4430,2678-1262
2678890,1261704,2024,25,1,3,4430,2678-1261
2558126,1192860,2025,25,1,3,4430,2558-1192
2678889,1261720,2022,25,1,3,4430,2678-1261
2678831,1261827,2025,25,1,3,4430,2678-1261
2678813,1261986,2025,25,1,3,4430,2678-1261
2569743,1203263,2024,25,1,2,4430,2569-1203
2678855,1261921,2024,25,1,3,4430,2678-1261
2569578,1203001,2022,25,1,3,4430,2569-1203
2569637,1203170,2024,25,1,3,4430,2569-1203
2569633,1203157,2024,25,4,3,4430,2569-1203
2569916,1203498,2021,19,1,0,4430,2569-1203
2678720,1262079,2024,25,1,3,4430,2678-1262
2678747,1262181,2025,25,1,3,4430,2678-1262
2679093,1261748,2022,25,1,3,4430,2679-1261
2570500,1203500,2024,25,5,3,4430,2570-1203
2691500,1247500,2022,25,1,3,4430,2691-1247
2569500,1203500,2024,25,2,3,4430,2569-1203
2569708,1203190,2022,25,2,3,4430,2569-1203
2570171.55826185,1203620.27005927,2022,25,1,3,4430,2570-1203
2570171.55826185,1203620.27005927,2025,25,,3,4430,2570-1203
2570500,1203500,2024,19,3,0,4430,2570-1203
2569500,1203500,2025,25,3,3,4430,2569-1203
2670416,1242348,2024,25,1,3,4430,2670-1242
2670300.06850856,1242299.56432466,2022,25,1,3,4430,2670-1242
2670300.06850856,1242299.56432465,2024,25,1,1,4430,2670-1242
