DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY337,7510,Glaucidium passerinum,0,0
2020-03-25,2020,BY132,7510,Glaucidium passerinum,0,0
2020-04-11,2020,BY337,7510,Glaucidium passerinum,0,0
2020-04-18,2020,BY132,7510,Glaucidium passerinum,0,0
2020-05-07,2020,BY132,7510,Glaucidium passerinum,0,0
2020-05-16,2020,BY337,7510,Glaucidium passerinum,0,0
2020-05-30,2020,BY132,7510,Glaucidium passerinum,0,0
2020-06-01,2020,BY337,7510,Glaucidium passerinum,0,0
2021-03-20,2021,BY337,7510,Glaucidium passerinum,0,0
2021-03-24,2021,BY170,7510,Glaucidium passerinum,0,0
2021-03-26,2021,BY132,7510,Glaucidium passerinum,0,0
2021-03-26,2021,BY400,7510,Glaucidium passerinum,0,0
2021-03-29,2021,BY342,7510,Glaucidium passerinum,0,0
2021-03-29,2021,BY84,7510,Glaucidium passerinum,0,0
2021-04-10,2021,BY132,7510,Glaucidium passerinum,0,0
2021-04-10,2021,BY170,7510,Glaucidium passerinum,0,0
2021-04-10,2021,BY337,7510,Glaucidium passerinum,0,0
2021-04-18,2021,BY84,7510,Glaucidium passerinum,0,0
2021-04-25,2021,BY342,7510,Glaucidium passerinum,0,0
2021-04-26,2021,BY400,7510,Glaucidium passerinum,0,0
2021-05-03,2021,BY170,7510,Glaucidium passerinum,0,0
2021-05-08,2021,BY84,7510,Glaucidium passerinum,0,0
2021-05-10,2021,BY400,7510,Glaucidium passerinum,0,0
2021-05-11,2021,BY342,7510,Glaucidium passerinum,0,0
2021-05-14,2021,BY132,7510,Glaucidium passerinum,0,0
2021-05-16,2021,BY337,7510,Glaucidium passerinum,0,0
2021-05-29,2021,BY132,7510,Glaucidium passerinum,0,0
2021-05-31,2021,BY170,7510,Glaucidium passerinum,0,0
2021-06-02,2021,BY400,7510,Glaucidium passerinum,0,0
2021-06-03,2021,BY337,7510,Glaucidium passerinum,0,0
2021-06-03,2021,BY84,7510,Glaucidium passerinum,0,0
2021-06-05,2021,BY342,7510,Glaucidium passerinum,0,0
2022-03-11,2022,BY170,7510,Glaucidium passerinum,0,0
2022-03-20,2022,BY43,7510,Glaucidium passerinum,0,0
2022-03-20,2022,BY84,7510,Glaucidium passerinum,0,0
2022-04-12,2022,BY170,7510,Glaucidium passerinum,0,0
2022-04-15,2022,BY43,7510,Glaucidium passerinum,0,0
2022-04-21,2022,BY84,7510,Glaucidium passerinum,0,0
2022-05-02,2022,BY170,7510,Glaucidium passerinum,0,0
2022-05-08,2022,BY84,7510,Glaucidium passerinum,0,0
2022-05-21,2022,BY170,7510,Glaucidium passerinum,0,0
2022-05-21,2022,BY43,7510,Glaucidium passerinum,0,0
2022-06-10,2022,BY43,7510,Glaucidium passerinum,0,0
2022-06-13,2022,BY84,7510,Glaucidium passerinum,0,0
2023-03-18,2023,BY170,7510,Glaucidium passerinum,0,0
2023-03-18,2023,BY342,7510,Glaucidium passerinum,0,0
2023-03-18,2023,BY84,7510,Glaucidium passerinum,0,0
2023-03-22,2023,BY400,7510,Glaucidium passerinum,0,0
2023-03-22,2023,BY43,7510,Glaucidium passerinum,0,0
2023-03-29,2023,BY337,7510,Glaucidium passerinum,0,0
2023-04-10,2023,BY170,7510,Glaucidium passerinum,0,0
2023-04-19,2023,BY337,7510,Glaucidium passerinum,0,0
2023-04-21,2023,BY400,7510,Glaucidium passerinum,0,0
2023-04-23,2023,BY43,7510,Glaucidium passerinum,0,0
2023-04-23,2023,BY84,7510,Glaucidium passerinum,0,0
2023-04-30,2023,BY342,7510,Glaucidium passerinum,0,0
2023-05-08,2023,BY170,7510,Glaucidium passerinum,0,0
2023-05-09,2023,BY400,7510,Glaucidium passerinum,0,0
2023-05-13,2023,BY84,7510,Glaucidium passerinum,0,0
2023-05-14,2023,BY43,7510,Glaucidium passerinum,0,0
2023-05-18,2023,BY337,7510,Glaucidium passerinum,0,0
2023-05-20,2023,BY342,7510,Glaucidium passerinum,0,0
2023-05-21,2023,BY170,7510,Glaucidium passerinum,0,0
2023-06-04,2023,BY342,7510,Glaucidium passerinum,0,0
2023-06-04,2023,BY43,7510,Glaucidium passerinum,0,0
2023-06-05,2023,BY84,7510,Glaucidium passerinum,0,0
2023-06-06,2023,BY400,7510,Glaucidium passerinum,0,0
2023-06-19,2023,BY337,7510,Glaucidium passerinum,0,0
2024-03-17,2024,BY342,7510,Glaucidium passerinum,0,0
2024-03-18,2024,BY337,7510,Glaucidium passerinum,0,0
2024-03-22,2024,BY132,7510,Glaucidium passerinum,0,0
2024-03-22,2024,BY43,7510,Glaucidium passerinum,0,0
2024-04-19,2024,BY132,7510,Glaucidium passerinum,0,0
2024-04-23,2024,BY43,7510,Glaucidium passerinum,0,0
2024-04-27,2024,BY337,7510,Glaucidium passerinum,0,0
2024-04-30,2024,BY342,7510,Glaucidium passerinum,0,0
2024-05-04,2024,BY43,7510,Glaucidium passerinum,0,0
2024-05-09,2024,BY337,7510,Glaucidium passerinum,0,0
2024-05-11,2024,BY132,7510,Glaucidium passerinum,0,0
2024-05-12,2024,BY342,7510,Glaucidium passerinum,0,0
2024-06-03,2024,BY132,7510,Glaucidium passerinum,0,0
2024-06-09,2024,BY43,7510,Glaucidium passerinum,0,0
2024-06-13,2024,BY337,7510,Glaucidium passerinum,0,0
2024-06-16,2024,BY342,7510,Glaucidium passerinum,0,0
