DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY113,10170,Motacilla flava,0,0
2020-03-19,2020,BY109,10170,Motacilla flava,0,0
2020-03-19,2020,BY237,10170,Motacilla flava,0,0
2020-03-20,2020,BY31,10170,Motacilla flava,0,0
2020-03-28,2020,BY290,10170,Motacilla flava,0,0
2020-03-28,2020,BY291,10170,Motacilla flava,0,0
2020-03-28,2020,BY65,10170,Motacilla flava,0,0
2020-04-09,2020,BY113,10170,Motacilla flava,0,0
2020-04-11,2020,BY290,10170,Motacilla flava,1,2
2020-04-17,2020,BY31,10170,Motacilla flava,5,1
2020-04-17,2020,BY65,10170,Motacilla flava,3,6
2020-04-26,2020,BY109,10170,Motacilla flava,17,6
2020-04-28,2020,BY291,10170,Motacilla flava,0,0
2020-05-02,2020,BY113,10170,Motacilla flava,0,0
2020-05-07,2020,BY65,10170,Motacilla flava,4,6
2020-05-10,2020,BY290,10170,Motacilla flava,2,2
2020-05-16,2020,BY31,10170,Motacilla flava,2,1
2020-05-17,2020,BY237,10170,Motacilla flava,0,0
2020-05-19,2020,BY291,10170,Motacilla flava,1,1
2020-05-20,2020,BY109,10170,Motacilla flava,9,6
2020-05-31,2020,BY290,10170,Motacilla flava,2,2
2020-06-02,2020,BY65,10170,Motacilla flava,8,6
2020-06-09,2020,BY31,10170,Motacilla flava,1,1
2020-06-13,2020,BY237,10170,Motacilla flava,1,1
2020-06-18,2020,BY113,10170,Motacilla flava,1,1
2020-06-20,2020,BY109,10170,Motacilla flava,7,6
2020-06-20,2020,BY291,10170,Motacilla flava,1,1
2021-03-12,2021,BY243,10170,Motacilla flava,0,0
2021-03-13,2021,BY113,10170,Motacilla flava,0,0
2021-03-13,2021,BY302,10170,Motacilla flava,0,0
2021-03-19,2021,BY117,10170,Motacilla flava,0,0
2021-03-20,2021,BY241,10170,Motacilla flava,0,0
2021-03-22,2021,BY31,10170,Motacilla flava,0,0
2021-03-23,2021,BY205,10170,Motacilla flava,0,0
2021-03-24,2021,BY109,10170,Motacilla flava,0,0
2021-03-25,2021,BY272,10170,Motacilla flava,0,0
2021-03-26,2021,BY186,10170,Motacilla flava,0,0
2021-03-26,2021,BY22,10170,Motacilla flava,0,0
2021-03-28,2021,BY291,10170,Motacilla flava,0,0
2021-03-29,2021,BY118,10170,Motacilla flava,0,0
2021-03-29,2021,BY201,10170,Motacilla flava,0,0
2021-03-29,2021,BY238,10170,Motacilla flava,0,0
2021-03-29,2021,BY283,10170,Motacilla flava,1,1
2021-03-29,2021,BY65,10170,Motacilla flava,0,0
2021-03-30,2021,BY122,10170,Motacilla flava,0,0
2021-03-31,2021,BY220,10170,Motacilla flava,0,0
2021-04-04,2021,BY113,10170,Motacilla flava,0,0
2021-04-05,2021,BY302,10170,Motacilla flava,0,0
2021-04-15,2021,BY117,10170,Motacilla flava,0,0
2021-04-16,2021,BY118,10170,Motacilla flava,0,0
2021-04-17,2021,BY241,10170,Motacilla flava,0,0
2021-04-20,2021,BY65,10170,Motacilla flava,5,4
2021-04-23,2021,BY283,10170,Motacilla flava,1,1
2021-04-24,2021,BY109,10170,Motacilla flava,20,11
2021-04-24,2021,BY272,10170,Motacilla flava,1,1
2021-04-24,2021,BY31,10170,Motacilla flava,3,2
2021-04-25,2021,BY122,10170,Motacilla flava,0,0
2021-04-25,2021,BY201,10170,Motacilla flava,1,0
2021-04-25,2021,BY201,10170,Motacilla flava,8,4
2021-04-25,2021,BY22,10170,Motacilla flava,15,19
2021-04-25,2021,BY238,10170,Motacilla flava,0,0
2021-04-25,2021,BY243,10170,Motacilla flava,0,0
2021-04-25,2021,BY291,10170,Motacilla flava,4,1
2021-04-26,2021,BY186,10170,Motacilla flava,6,0
2021-04-26,2021,BY220,10170,Motacilla flava,0,0
2021-04-27,2021,BY205,10170,Motacilla flava,3,1
2021-05-04,2021,BY113,10170,Motacilla flava,1,2
2021-05-08,2021,BY302,10170,Motacilla flava,6,3
2021-05-08,2021,BY65,10170,Motacilla flava,12,4
2021-05-09,2021,BY117,10170,Motacilla flava,9,1
2021-05-10,2021,BY186,10170,Motacilla flava,7,0
2021-05-10,2021,BY272,10170,Motacilla flava,0,0
2021-05-11,2021,BY201,10170,Motacilla flava,11,4
2021-05-14,2021,BY109,10170,Motacilla flava,28,11
2021-05-14,2021,BY122,10170,Motacilla flava,3,1
2021-05-14,2021,BY22,10170,Motacilla flava,16,19
2021-05-14,2021,BY243,10170,Motacilla flava,0,0
2021-05-14,2021,BY283,10170,Motacilla flava,1,1
2021-05-16,2021,BY238,10170,Motacilla flava,0,0
2021-05-16,2021,BY291,10170,Motacilla flava,1,1
2021-05-17,2021,BY220,10170,Motacilla flava,0,0
2021-05-19,2021,BY118,10170,Motacilla flava,2,2
2021-05-19,2021,BY31,10170,Motacilla flava,1,2
2021-05-20,2021,BY205,10170,Motacilla flava,0,0
2021-05-30,2021,BY238,10170,Motacilla flava,1,1
2021-05-31,2021,BY65,10170,Motacilla flava,6,4
2021-06-01,2021,BY241,10170,Motacilla flava,3,2
2021-06-01,2021,BY302,10170,Motacilla flava,7,3
2021-06-02,2021,BY117,10170,Motacilla flava,1,1
2021-06-03,2021,BY272,10170,Motacilla flava,1,1
2021-06-04,2021,BY243,10170,Motacilla flava,2,1
2021-06-04,2021,BY283,10170,Motacilla flava,1,1
2021-06-08,2021,BY22,10170,Motacilla flava,23,19
2021-06-09,2021,BY241,10170,Motacilla flava,8,2
2021-06-10,2021,BY113,10170,Motacilla flava,2,2
2021-06-10,2021,BY186,10170,Motacilla flava,2,1
2021-06-11,2021,BY118,10170,Motacilla flava,3,2
2021-06-11,2021,BY205,10170,Motacilla flava,1,1
2021-06-12,2021,BY109,10170,Motacilla flava,20,11
