DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,15910,Passer domesticus,0,0
2020-03-14,2020,BY272,15910,Passer domesticus,2,3
2020-03-14,2020,BY275,15910,Passer domesticus,27,41
2020-03-15,2020,BY113,15910,Passer domesticus,0,0
2020-03-15,2020,BY119,15910,Passer domesticus,87,70
2020-03-15,2020,BY121,15910,Passer domesticus,154,105
2020-03-15,2020,BY133,15910,Passer domesticus,24,16
2020-03-15,2020,BY230,15910,Passer domesticus,15,20
2020-03-15,2020,BY235,15910,Passer domesticus,8,14
2020-03-15,2020,BY242,15910,Passer domesticus,38,49
2020-03-17,2020,BY276,15910,Passer domesticus,5,13
2020-03-18,2020,BY221,15910,Passer domesticus,16,5
2020-03-18,2020,BY243,15910,Passer domesticus,10,17
2020-03-19,2020,BY114,15910,Passer domesticus,0,0
2020-03-19,2020,BY236,15910,Passer domesticus,14,18
2020-03-19,2020,BY237,15910,Passer domesticus,51,80
2020-03-20,2020,BY158,15910,Passer domesticus,89,58
2020-03-20,2020,BY193,15910,Passer domesticus,3,3
2020-03-20,2020,BY286,15910,Passer domesticus,9,25
2020-03-20,2020,BY321,15910,Passer domesticus,4,9
2020-03-20,2020,BY454,15910,Passer domesticus,15,10
2020-03-22,2020,BY137,15910,Passer domesticus,36,46
2020-03-22,2020,BY86,15910,Passer domesticus,87,40
2020-03-25,2020,BY238,15910,Passer domesticus,11,30
2020-03-27,2020,BY120,15910,Passer domesticus,57,47
2020-03-28,2020,BY291,15910,Passer domesticus,1,2
2020-03-28,2020,BY332,15910,Passer domesticus,16,7
2020-03-29,2020,BY217,15910,Passer domesticus,74,63
2020-03-31,2020,BY169,15910,Passer domesticus,39,11
2020-04-05,2020,BY127,15910,Passer domesticus,2,32
2020-04-05,2020,BY235,15910,Passer domesticus,8,14
2020-04-05,2020,BY242,15910,Passer domesticus,57,49
2020-04-05,2020,BY275,15910,Passer domesticus,36,41
2020-04-05,2020,BY286,15910,Passer domesticus,9,25
2020-04-06,2020,BY221,15910,Passer domesticus,15,5
2020-04-07,2020,BY114,15910,Passer domesticus,6,10
2020-04-07,2020,BY243,15910,Passer domesticus,7,17
2020-04-09,2020,BY113,15910,Passer domesticus,1,1
2020-04-09,2020,BY230,15910,Passer domesticus,18,20
2020-04-10,2020,BY121,15910,Passer domesticus,155,105
2020-04-10,2020,BY133,15910,Passer domesticus,8,16
2020-04-10,2020,BY272,15910,Passer domesticus,2,3
2020-04-11,2020,BY137,15910,Passer domesticus,34,46
2020-04-11,2020,BY236,15910,Passer domesticus,17,18
2020-04-11,2020,BY454,15910,Passer domesticus,10,10
2020-04-12,2020,BY119,15910,Passer domesticus,84,70
2020-04-17,2020,BY276,15910,Passer domesticus,31,13
2020-04-17,2020,BY321,15910,Passer domesticus,10,9
2020-04-18,2020,BY120,15910,Passer domesticus,48,47
2020-04-18,2020,BY161,15910,Passer domesticus,27,21
2020-04-18,2020,BY169,15910,Passer domesticus,37,11
2020-04-18,2020,BY86,15910,Passer domesticus,45,40
2020-04-19,2020,BY217,15910,Passer domesticus,54,63
2020-04-27,2020,BY193,15910,Passer domesticus,3,3
2020-04-28,2020,BY291,15910,Passer domesticus,0,0
2020-04-29,2020,BY238,15910,Passer domesticus,17,30
2020-04-30,2020,BY158,15910,Passer domesticus,71,58
2020-05-01,2020,BY114,15910,Passer domesticus,9,10
2020-05-01,2020,BY230,15910,Passer domesticus,15,20
2020-05-02,2020,BY113,15910,Passer domesticus,0,0
2020-05-02,2020,BY221,15910,Passer domesticus,10,5
2020-05-03,2020,BY127,15910,Passer domesticus,34,32
2020-05-03,2020,BY275,15910,Passer domesticus,17,41
2020-05-03,2020,BY286,15910,Passer domesticus,16,25
2020-05-03,2020,BY332,15910,Passer domesticus,15,7
2020-05-09,2020,BY272,15910,Passer domesticus,1,3
2020-05-09,2020,BY454,15910,Passer domesticus,7,10
2020-05-10,2020,BY119,15910,Passer domesticus,87,70
2020-05-10,2020,BY133,15910,Passer domesticus,12,16
2020-05-10,2020,BY217,15910,Passer domesticus,85,63
2020-05-10,2020,BY235,15910,Passer domesticus,9,14
2020-05-10,2020,BY242,15910,Passer domesticus,52,49
2020-05-11,2020,BY243,15910,Passer domesticus,20,17
2020-05-11,2020,BY321,15910,Passer domesticus,7,9
2020-05-16,2020,BY120,15910,Passer domesticus,51,47
2020-05-16,2020,BY121,15910,Passer domesticus,157,105
2020-05-16,2020,BY137,15910,Passer domesticus,44,46
2020-05-16,2020,BY86,15910,Passer domesticus,53,40
2020-05-17,2020,BY169,15910,Passer domesticus,56,11
2020-05-17,2020,BY237,15910,Passer domesticus,48,80
2020-05-17,2020,BY276,15910,Passer domesticus,47,13
2020-05-18,2020,BY236,15910,Passer domesticus,26,18
2020-05-19,2020,BY193,15910,Passer domesticus,2,3
2020-05-19,2020,BY238,15910,Passer domesticus,11,30
2020-05-19,2020,BY291,15910,Passer domesticus,3,2
2020-05-21,2020,BY158,15910,Passer domesticus,94,58
2020-05-24,2020,BY230,15910,Passer domesticus,16,20
2020-05-24,2020,BY235,15910,Passer domesticus,5,14
2020-05-24,2020,BY275,15910,Passer domesticus,17,41
2020-05-24,2020,BY286,15910,Passer domesticus,28,25
2020-05-24,2020,BY332,15910,Passer domesticus,15,7
2020-05-26,2020,BY221,15910,Passer domesticus,8,5
2020-05-31,2020,BY137,15910,Passer domesticus,35,46
2020-05-31,2020,BY217,15910,Passer domesticus,52,63
2020-06-01,2020,BY133,15910,Passer domesticus,15,16
2020-06-03,2020,BY238,15910,Passer domesticus,17,30
2020-06-08,2020,BY243,15910,Passer domesticus,12,17
2020-06-12,2020,BY121,15910,Passer domesticus,181,105
2020-06-12,2020,BY242,15910,Passer domesticus,52,49
2020-06-12,2020,BY272,15910,Passer domesticus,1,3
2020-06-12,2020,BY276,15910,Passer domesticus,46,13
2020-06-13,2020,BY114,15910,Passer domesticus,3,10
2020-06-13,2020,BY119,15910,Passer domesticus,87,70
2020-06-13,2020,BY158,15910,Passer domesticus,97,58
2020-06-13,2020,BY236,15910,Passer domesticus,18,18
2020-06-13,2020,BY237,15910,Passer domesticus,55,80
2020-06-13,2020,BY321,15910,Passer domesticus,3,9
2020-06-13,2020,BY332,15910,Passer domesticus,13,7
2020-06-13,2020,BY454,15910,Passer domesticus,7,10
2020-06-13,2020,BY86,15910,Passer domesticus,71,40
2020-06-14,2020,BY127,15910,Passer domesticus,0,0
2020-06-17,2020,BY193,15910,Passer domesticus,2,3
2020-06-18,2020,BY113,15910,Passer domesticus,0,0
2020-06-18,2020,BY120,15910,Passer domesticus,38,47
2020-06-19,2020,BY169,15910,Passer domesticus,66,11
2020-06-20,2020,BY291,15910,Passer domesticus,1,2
2021-03-12,2021,BY243,15910,Passer domesticus,5,18
2021-03-13,2021,BY165,15910,Passer domesticus,23,10
2021-03-13,2021,BY237,15910,Passer domesticus,26,97
2021-03-13,2021,BY332,15910,Passer domesticus,11,11
2021-03-13,2021,BY454,15910,Passer domesticus,10,4
2021-03-19,2021,BY117,15910,Passer domesticus,20,15
2021-03-20,2021,BY114,15910,Passer domesticus,0,0
2021-03-20,2021,BY181,15910,Passer domesticus,4,4
2021-03-20,2021,BY241,15910,Passer domesticus,4,4
2021-03-21,2021,BY119,15910,Passer domesticus,64,50
2021-03-21,2021,BY126,15910,Passer domesticus,100,46
2021-03-21,2021,BY127,15910,Passer domesticus,0,0
2021-03-21,2021,BY180,15910,Passer domesticus,16,35
2021-03-21,2021,BY235,15910,Passer domesticus,3,8
2021-03-21,2021,BY86,15910,Passer domesticus,73,55
2021-03-22,2021,BY221,15910,Passer domesticus,15,5
2021-03-22,2021,BY230,15910,Passer domesticus,5,36
2021-03-23,2021,BY205,15910,Passer domesticus,40,52
2021-03-23,2021,BY338,15910,Passer domesticus,2,7
2021-03-24,2021,BY324,15910,Passer domesticus,22,20
2021-03-25,2021,BY106,15910,Passer domesticus,34,26
2021-03-25,2021,BY193,15910,Passer domesticus,2,1
2021-03-25,2021,BY272,15910,Passer domesticus,1,1
2021-03-26,2021,BY105,15910,Passer domesticus,10,21
2021-03-26,2021,BY128,15910,Passer domesticus,52,51
2021-03-26,2021,BY151,15910,Passer domesticus,0,0
2021-03-26,2021,BY160,15910,Passer domesticus,59,80
2021-03-26,2021,BY164,15910,Passer domesticus,4,5
2021-03-26,2021,BY18,15910,Passer domesticus,7,10
2021-03-26,2021,BY186,15910,Passer domesticus,3,3
2021-03-26,2021,BY242,15910,Passer domesticus,60,60
2021-03-26,2021,BY400,15910,Passer domesticus,7,9
2021-03-27,2021,BY137,15910,Passer domesticus,29,34
2021-03-27,2021,BY169,15910,Passer domesticus,32,15
2021-03-28,2021,BY133,15910,Passer domesticus,17,15
2021-03-28,2021,BY158,15910,Passer domesticus,79,52
2021-03-28,2021,BY217,15910,Passer domesticus,60,71
2021-03-28,2021,BY236,15910,Passer domesticus,28,19
2021-03-28,2021,BY278,15910,Passer domesticus,52,43
2021-03-28,2021,BY291,15910,Passer domesticus,1,2
2021-03-28,2021,BY82,15910,Passer domesticus,10,18
2021-03-29,2021,BY118,15910,Passer domesticus,28,28
2021-03-29,2021,BY201,15910,Passer domesticus,13,15
2021-03-29,2021,BY238,15910,Passer domesticus,6,15
2021-03-29,2021,BY70,15910,Passer domesticus,8,4
2021-03-30,2021,BY120,15910,Passer domesticus,34,67
2021-03-30,2021,BY122,15910,Passer domesticus,169,93
2021-03-30,2021,BY183,15910,Passer domesticus,6,5
2021-03-30,2021,BY234,15910,Passer domesticus,6,6
2021-03-31,2021,BY220,15910,Passer domesticus,32,11
2021-03-31,2021,BY315,15910,Passer domesticus,12,15
2021-04-02,2021,BY127,15910,Passer domesticus,0,0
2021-04-02,2021,BY457,15910,Passer domesticus,3,10
2021-04-05,2021,BY114,15910,Passer domesticus,0,0
2021-04-05,2021,BY230,15910,Passer domesticus,26,36
2021-04-10,2021,BY165,15910,Passer domesticus,11,10
2021-04-11,2021,BY105,15910,Passer domesticus,20,21
2021-04-11,2021,BY126,15910,Passer domesticus,92,46
2021-04-11,2021,BY133,15910,Passer domesticus,21,15
2021-04-11,2021,BY180,15910,Passer domesticus,27,35
2021-04-11,2021,BY221,15910,Passer domesticus,24,5
2021-04-11,2021,BY235,15910,Passer domesticus,4,8
2021-04-11,2021,BY237,15910,Passer domesticus,47,97
2021-04-11,2021,BY242,15910,Passer domesticus,58,60
2021-04-15,2021,BY117,15910,Passer domesticus,20,15
2021-04-16,2021,BY118,15910,Passer domesticus,25,28
2021-04-16,2021,BY151,15910,Passer domesticus,0,0
2021-04-17,2021,BY181,15910,Passer domesticus,3,4
2021-04-17,2021,BY241,15910,Passer domesticus,8,4
2021-04-17,2021,BY286,15910,Passer domesticus,25,30
2021-04-17,2021,BY332,15910,Passer domesticus,19,11
2021-04-18,2021,BY119,15910,Passer domesticus,97,50
2021-04-18,2021,BY86,15910,Passer domesticus,64,55
2021-04-20,2021,BY324,15910,Passer domesticus,17,20
2021-04-21,2021,BY128,15910,Passer domesticus,47,51
2021-04-21,2021,BY193,15910,Passer domesticus,1,1
2021-04-22,2021,BY278,15910,Passer domesticus,20,43
2021-04-23,2021,BY338,15910,Passer domesticus,8,7
2021-04-24,2021,BY164,15910,Passer domesticus,2,5
2021-04-24,2021,BY18,15910,Passer domesticus,4,10
2021-04-24,2021,BY272,15910,Passer domesticus,1,1
2021-04-24,2021,BY373,15910,Passer domesticus,5,1
2021-04-24,2021,BY454,15910,Passer domesticus,4,4
2021-04-24,2021,BY457,15910,Passer domesticus,10,10
2021-04-25,2021,BY106,15910,Passer domesticus,27,26
2021-04-25,2021,BY122,15910,Passer domesticus,169,93
2021-04-25,2021,BY169,15910,Passer domesticus,18,15
2021-04-25,2021,BY183,15910,Passer domesticus,1,5
2021-04-25,2021,BY201,15910,Passer domesticus,23,15
2021-04-25,2021,BY217,15910,Passer domesticus,74,71
2021-04-25,2021,BY234,15910,Passer domesticus,8,6
2021-04-25,2021,BY236,15910,Passer domesticus,24,19
2021-04-25,2021,BY238,15910,Passer domesticus,7,15
2021-04-25,2021,BY243,15910,Passer domesticus,17,18
2021-04-25,2021,BY291,15910,Passer domesticus,0,0
2021-04-25,2021,BY315,15910,Passer domesticus,18,15
2021-04-25,2021,BY82,15910,Passer domesticus,13,18
2021-04-26,2021,BY160,15910,Passer domesticus,38,80
2021-04-26,2021,BY186,15910,Passer domesticus,2,3
2021-04-26,2021,BY220,15910,Passer domesticus,11,11
2021-04-26,2021,BY400,15910,Passer domesticus,9,9
2021-04-27,2021,BY120,15910,Passer domesticus,34,67
2021-04-27,2021,BY158,15910,Passer domesticus,38,52
2021-04-27,2021,BY205,15910,Passer domesticus,72,52
2021-04-27,2021,BY70,15910,Passer domesticus,5,4
2021-04-28,2021,BY137,15910,Passer domesticus,40,34
2021-05-01,2021,BY127,15910,Passer domesticus,27,30
2021-05-04,2021,BY151,15910,Passer domesticus,0,0
2021-05-04,2021,BY37,15910,Passer domesticus,0,0
2021-05-06,2021,BY221,15910,Passer domesticus,9,5
2021-05-08,2021,BY165,15910,Passer domesticus,4,10
2021-05-09,2021,BY114,15910,Passer domesticus,14,9
2021-05-09,2021,BY117,15910,Passer domesticus,15,15
2021-05-09,2021,BY133,15910,Passer domesticus,14,15
2021-05-09,2021,BY180,15910,Passer domesticus,13,35
2021-05-09,2021,BY235,15910,Passer domesticus,5,8
2021-05-09,2021,BY242,15910,Passer domesticus,70,60
2021-05-09,2021,BY286,15910,Passer domesticus,19,30
2021-05-09,2021,BY332,15910,Passer domesticus,17,11
2021-05-09,2021,BY82,15910,Passer domesticus,18,18
2021-05-10,2021,BY128,15910,Passer domesticus,67,51
2021-05-10,2021,BY183,15910,Passer domesticus,0,0
2021-05-10,2021,BY186,15910,Passer domesticus,2,3
2021-05-10,2021,BY272,15910,Passer domesticus,2,1
2021-05-10,2021,BY400,15910,Passer domesticus,12,9
2021-05-11,2021,BY164,15910,Passer domesticus,6,5
2021-05-11,2021,BY181,15910,Passer domesticus,7,4
2021-05-11,2021,BY201,15910,Passer domesticus,14,15
2021-05-11,2021,BY237,15910,Passer domesticus,57,97
2021-05-13,2021,BY230,15910,Passer domesticus,24,36
2021-05-14,2021,BY105,15910,Passer domesticus,5,21
2021-05-14,2021,BY122,15910,Passer domesticus,124,93
2021-05-14,2021,BY18,15910,Passer domesticus,2,10
2021-05-14,2021,BY236,15910,Passer domesticus,23,19
2021-05-14,2021,BY243,15910,Passer domesticus,21,18
2021-05-14,2021,BY324,15910,Passer domesticus,12,20
2021-05-15,2021,BY119,15910,Passer domesticus,88,50
2021-05-15,2021,BY137,15910,Passer domesticus,60,34
2021-05-15,2021,BY278,15910,Passer domesticus,22,43
2021-05-16,2021,BY126,15910,Passer domesticus,65,46
2021-05-16,2021,BY217,15910,Passer domesticus,35,71
2021-05-16,2021,BY234,15910,Passer domesticus,7,6
2021-05-16,2021,BY238,15910,Passer domesticus,9,15
2021-05-16,2021,BY291,15910,Passer domesticus,1,2
2021-05-16,2021,BY338,15910,Passer domesticus,0,0
2021-05-16,2021,BY454,15910,Passer domesticus,4,4
2021-05-16,2021,BY70,15910,Passer domesticus,4,4
2021-05-16,2021,BY86,15910,Passer domesticus,62,55
2021-05-17,2021,BY220,15910,Passer domesticus,5,11
2021-05-18,2021,BY106,15910,Passer domesticus,15,26
2021-05-18,2021,BY160,15910,Passer domesticus,39,80
2021-05-19,2021,BY118,15910,Passer domesticus,19,28
2021-05-19,2021,BY169,15910,Passer domesticus,26,15
2021-05-20,2021,BY193,15910,Passer domesticus,0,0
2021-05-20,2021,BY205,15910,Passer domesticus,61,52
2021-05-21,2021,BY158,15910,Passer domesticus,42,52
2021-05-24,2021,BY120,15910,Passer domesticus,49,67
2021-05-24,2021,BY221,15910,Passer domesticus,21,5
2021-05-24,2021,BY235,15910,Passer domesticus,7,8
2021-05-24,2021,BY242,15910,Passer domesticus,71,60
2021-05-24,2021,BY373,15910,Passer domesticus,0,0
2021-05-28,2021,BY151,15910,Passer domesticus,1,1
2021-05-28,2021,BY457,15910,Passer domesticus,12,10
2021-05-29,2021,BY164,15910,Passer domesticus,7,5
2021-05-29,2021,BY230,15910,Passer domesticus,29,36
2021-05-30,2021,BY137,15910,Passer domesticus,64,34
2021-05-30,2021,BY238,15910,Passer domesticus,6,15
2021-05-30,2021,BY286,15910,Passer domesticus,11,30
2021-06-01,2021,BY183,15910,Passer domesticus,0,0
2021-06-01,2021,BY237,15910,Passer domesticus,65,97
2021-06-01,2021,BY241,15910,Passer domesticus,10,4
2021-06-02,2021,BY117,15910,Passer domesticus,22,15
2021-06-02,2021,BY400,15910,Passer domesticus,9,9
2021-06-03,2021,BY133,15910,Passer domesticus,26,15
2021-06-03,2021,BY169,15910,Passer domesticus,23,15
2021-06-03,2021,BY18,15910,Passer domesticus,5,10
2021-06-03,2021,BY180,15910,Passer domesticus,17,35
2021-06-03,2021,BY272,15910,Passer domesticus,1,1
2021-06-03,2021,BY82,15910,Passer domesticus,20,18
2021-06-04,2021,BY165,15910,Passer domesticus,3,10
2021-06-04,2021,BY243,15910,Passer domesticus,14,18
2021-06-05,2021,BY278,15910,Passer domesticus,49,43
2021-06-06,2021,BY126,15910,Passer domesticus,92,46
2021-06-06,2021,BY217,15910,Passer domesticus,36,71
2021-06-07,2021,BY106,15910,Passer domesticus,20,26
2021-06-07,2021,BY457,15910,Passer domesticus,14,10
2021-06-09,2021,BY241,15910,Passer domesticus,10,4
2021-06-10,2021,BY186,15910,Passer domesticus,1,3
2021-06-11,2021,BY118,15910,Passer domesticus,16,28
2021-06-11,2021,BY128,15910,Passer domesticus,81,51
2021-06-11,2021,BY205,15910,Passer domesticus,60,52
2021-06-11,2021,BY315,15910,Passer domesticus,25,15
2021-06-11,2021,BY324,15910,Passer domesticus,31,20
2021-06-12,2021,BY105,15910,Passer domesticus,4,21
2021-06-12,2021,BY127,15910,Passer domesticus,4,30
2021-06-12,2021,BY201,15910,Passer domesticus,12,15
2021-06-12,2021,BY338,15910,Passer domesticus,1,7
2021-06-13,2021,BY114,15910,Passer domesticus,0,0
2021-06-13,2021,BY120,15910,Passer domesticus,45,67
2021-06-13,2021,BY291,15910,Passer domesticus,3,2
2021-06-13,2021,BY332,15910,Passer domesticus,13,11
2021-06-13,2021,BY86,15910,Passer domesticus,55,55
2021-06-14,2021,BY160,15910,Passer domesticus,49,80
2021-06-14,2021,BY193,15910,Passer domesticus,1,1
2021-06-14,2021,BY220,15910,Passer domesticus,20,11
2021-06-15,2021,BY454,15910,Passer domesticus,4,4
2021-06-16,2021,BY122,15910,Passer domesticus,148,93
2021-06-16,2021,BY158,15910,Passer domesticus,43,52
2021-06-16,2021,BY236,15910,Passer domesticus,24,19
2021-06-16,2021,BY37,15910,Passer domesticus,3,3
2021-06-19,2021,BY119,15910,Passer domesticus,102,50
2021-06-19,2021,BY181,15910,Passer domesticus,5,4
2021-06-20,2021,BY234,15910,Passer domesticus,15,6
2021-06-20,2021,BY70,15910,Passer domesticus,8,4
2021-06-26,2021,BY373,15910,Passer domesticus,3,1
2022-03-11,2022,BY150,15910,Passer domesticus,4,3
2022-03-11,2022,BY286,15910,Passer domesticus,13,22
2022-03-11,2022,BY345,15910,Passer domesticus,8,15
2022-03-12,2022,BY114,15910,Passer domesticus,0,0
2022-03-13,2022,BY113,15910,Passer domesticus,0,0
2022-03-13,2022,BY137,15910,Passer domesticus,28,39
2022-03-13,2022,BY188,15910,Passer domesticus,40,24
2022-03-13,2022,BY201,15910,Passer domesticus,13,15
2022-03-13,2022,BY288,15910,Passer domesticus,2,25
2022-03-13,2022,BY292,15910,Passer domesticus,214,142
2022-03-13,2022,BY307,15910,Passer domesticus,1,1
2022-03-13,2022,BY82,15910,Passer domesticus,23,19
2022-03-14,2022,BY343,15910,Passer domesticus,13,29
2022-03-14,2022,BY356,15910,Passer domesticus,8,6
2022-03-14,2022,BY368,15910,Passer domesticus,10,5
2022-03-16,2022,BY128,15910,Passer domesticus,57,51
2022-03-16,2022,BY136,15910,Passer domesticus,2,4
2022-03-16,2022,BY243,15910,Passer domesticus,10,17
2022-03-17,2022,BY122,15910,Passer domesticus,143,88
2022-03-17,2022,BY177,15910,Passer domesticus,0,0
2022-03-17,2022,BY186,15910,Passer domesticus,4,5
2022-03-18,2022,BY272,15910,Passer domesticus,0,0
2022-03-18,2022,BY373,15910,Passer domesticus,4,2
2022-03-19,2022,BY117,15910,Passer domesticus,21,14
2022-03-19,2022,BY164,15910,Passer domesticus,9,7
2022-03-19,2022,BY165,15910,Passer domesticus,6,10
2022-03-19,2022,BY181,15910,Passer domesticus,3,7
2022-03-19,2022,BY185,15910,Passer domesticus,48,40
2022-03-19,2022,BY280,15910,Passer domesticus,4,4
2022-03-19,2022,BY338,15910,Passer domesticus,7,6
2022-03-19,2022,BY370,15910,Passer domesticus,36,25
2022-03-20,2022,BY119,15910,Passer domesticus,88,67
2022-03-20,2022,BY120,15910,Passer domesticus,17,37
2022-03-20,2022,BY121,15910,Passer domesticus,197,93
2022-03-20,2022,BY126,15910,Passer domesticus,133,71
2022-03-20,2022,BY127,15910,Passer domesticus,0,0
2022-03-20,2022,BY133,15910,Passer domesticus,21,15
2022-03-20,2022,BY180,15910,Passer domesticus,17,39
2022-03-20,2022,BY217,15910,Passer domesticus,26,63
2022-03-20,2022,BY235,15910,Passer domesticus,2,6
2022-03-20,2022,BY242,15910,Passer domesticus,65,46
2022-03-20,2022,BY332,15910,Passer domesticus,13,7
2022-03-20,2022,BY70,15910,Passer domesticus,2,7
2022-03-20,2022,BY73,15910,Passer domesticus,6,10
2022-03-20,2022,BY83,15910,Passer domesticus,69,112
2022-03-21,2022,BY158,15910,Passer domesticus,69,42
2022-03-21,2022,BY454,15910,Passer domesticus,10,7
2022-03-22,2022,BY38,15910,Passer domesticus,9,76
2022-03-22,2022,BY386,15910,Passer domesticus,7,7
2022-03-23,2022,BY220,15910,Passer domesticus,25,13
2022-03-23,2022,BY237,15910,Passer domesticus,49,131
2022-03-23,2022,BY326,15910,Passer domesticus,0,0
2022-03-24,2022,BY106,15910,Passer domesticus,21,29
2022-03-24,2022,BY24,15910,Passer domesticus,18,30
2022-03-24,2022,BY294,15910,Passer domesticus,47,52
2022-03-24,2022,BY309,15910,Passer domesticus,1,5
2022-03-25,2022,BY161,15910,Passer domesticus,37,28
2022-03-25,2022,BY18,15910,Passer domesticus,8,9
2022-03-26,2022,BY193,15910,Passer domesticus,3,3
2022-03-26,2022,BY229,15910,Passer domesticus,8,9
2022-03-26,2022,BY230,15910,Passer domesticus,22,25
2022-03-26,2022,BY238,15910,Passer domesticus,5,25
2022-03-26,2022,BY277,15910,Passer domesticus,21,51
2022-03-26,2022,BY278,15910,Passer domesticus,43,38
2022-03-26,2022,BY340,15910,Passer domesticus,17,40
2022-03-26,2022,BY353,15910,Passer domesticus,17,21
2022-03-26,2022,BY367,15910,Passer domesticus,12,56
2022-03-26,2022,BY379,15910,Passer domesticus,13,18
2022-03-26,2022,BY86,15910,Passer domesticus,64,70
2022-03-27,2022,BY105,15910,Passer domesticus,8,16
2022-03-27,2022,BY125,15910,Passer domesticus,21,8
2022-03-27,2022,BY234,15910,Passer domesticus,6,5
2022-03-27,2022,BY276,15910,Passer domesticus,49,23
2022-03-27,2022,BY308,15910,Passer domesticus,23,20
2022-03-27,2022,BY457,15910,Passer domesticus,6,10
2022-03-27,2022,BY67,15910,Passer domesticus,21,23
2022-03-28,2022,BY376,15910,Passer domesticus,0,0
2022-03-29,2022,BY315,15910,Passer domesticus,3,10
2022-03-30,2022,BY236,15910,Passer domesticus,20,19
2022-04-03,2022,BY201,15910,Passer domesticus,10,15
2022-04-05,2022,BY169,15910,Passer domesticus,26,25
2022-04-06,2022,BY177,15910,Passer domesticus,9,5
2022-04-06,2022,BY345,15910,Passer domesticus,14,15
2022-04-09,2022,BY235,15910,Passer domesticus,3,6
2022-04-10,2022,BY114,15910,Passer domesticus,0,0
2022-04-10,2022,BY121,15910,Passer domesticus,100,93
2022-04-10,2022,BY126,15910,Passer domesticus,67,71
2022-04-10,2022,BY165,15910,Passer domesticus,2,10
2022-04-10,2022,BY180,15910,Passer domesticus,22,39
2022-04-10,2022,BY280,15910,Passer domesticus,1,4
2022-04-10,2022,BY288,15910,Passer domesticus,41,25
2022-04-12,2022,BY150,15910,Passer domesticus,2,3
2022-04-12,2022,BY169,15910,Passer domesticus,76,25
2022-04-12,2022,BY243,15910,Passer domesticus,27,17
2022-04-13,2022,BY136,15910,Passer domesticus,26,4
2022-04-13,2022,BY161,15910,Passer domesticus,43,28
2022-04-13,2022,BY276,15910,Passer domesticus,44,23
2022-04-13,2022,BY307,15910,Passer domesticus,0,0
2022-04-13,2022,BY368,15910,Passer domesticus,2,5
2022-04-13,2022,BY67,15910,Passer domesticus,22,23
2022-04-14,2022,BY128,15910,Passer domesticus,57,51
2022-04-14,2022,BY343,15910,Passer domesticus,15,29
2022-04-14,2022,BY356,15910,Passer domesticus,9,6
2022-04-14,2022,BY382,15910,Passer domesticus,0,0
2022-04-15,2022,BY127,15910,Passer domesticus,1,27
2022-04-15,2022,BY188,15910,Passer domesticus,19,24
2022-04-15,2022,BY242,15910,Passer domesticus,62,46
2022-04-15,2022,BY272,15910,Passer domesticus,0,0
2022-04-15,2022,BY277,15910,Passer domesticus,20,51
2022-04-15,2022,BY292,15910,Passer domesticus,122,142
2022-04-15,2022,BY73,15910,Passer domesticus,15,10
2022-04-15,2022,BY83,15910,Passer domesticus,76,112
2022-04-16,2022,BY125,15910,Passer domesticus,22,8
2022-04-16,2022,BY164,15910,Passer domesticus,4,7
2022-04-16,2022,BY286,15910,Passer domesticus,20,22
2022-04-16,2022,BY326,15910,Passer domesticus,6,4
2022-04-16,2022,BY353,15910,Passer domesticus,2,21
2022-04-16,2022,BY379,15910,Passer domesticus,13,18
2022-04-17,2022,BY105,15910,Passer domesticus,8,16
2022-04-17,2022,BY113,15910,Passer domesticus,1,1
2022-04-17,2022,BY117,15910,Passer domesticus,20,14
2022-04-17,2022,BY119,15910,Passer domesticus,127,67
2022-04-17,2022,BY133,15910,Passer domesticus,16,15
2022-04-17,2022,BY386,15910,Passer domesticus,6,7
2022-04-18,2022,BY217,15910,Passer domesticus,44,63
2022-04-18,2022,BY230,15910,Passer domesticus,9,25
2022-04-18,2022,BY332,15910,Passer domesticus,7,7
2022-04-18,2022,BY373,15910,Passer domesticus,0,0
2022-04-19,2022,BY120,15910,Passer domesticus,38,37
2022-04-19,2022,BY137,15910,Passer domesticus,22,39
2022-04-19,2022,BY186,15910,Passer domesticus,1,5
2022-04-19,2022,BY229,15910,Passer domesticus,6,9
2022-04-19,2022,BY338,15910,Passer domesticus,7,6
2022-04-20,2022,BY122,15910,Passer domesticus,131,88
2022-04-20,2022,BY82,15910,Passer domesticus,7,19
2022-04-21,2022,BY237,15910,Passer domesticus,37,131
2022-04-21,2022,BY294,15910,Passer domesticus,56,52
2022-04-22,2022,BY236,15910,Passer domesticus,17,19
2022-04-22,2022,BY367,15910,Passer domesticus,17,56
2022-04-22,2022,BY38,15910,Passer domesticus,32,76
2022-04-23,2022,BY106,15910,Passer domesticus,33,29
2022-04-23,2022,BY18,15910,Passer domesticus,4,9
2022-04-23,2022,BY238,15910,Passer domesticus,19,25
2022-04-23,2022,BY24,15910,Passer domesticus,35,30
2022-04-23,2022,BY278,15910,Passer domesticus,18,38
2022-04-23,2022,BY309,15910,Passer domesticus,1,5
2022-04-23,2022,BY370,15910,Passer domesticus,41,25
2022-04-24,2022,BY454,15910,Passer domesticus,7,7
2022-04-26,2022,BY181,15910,Passer domesticus,0,0
2022-04-28,2022,BY193,15910,Passer domesticus,3,3
